1- O que é pentateuco?	1- it-3 p. 223 / Pentateuco: Esta forma aportuguesada da palavra grega (que significa “cinco rolos” ou “volume quíntuplo”) refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.
258 - Complete a sentença. Ao pensar no papel que Deus designou a Cristo, reconhecemos que esse papel tem muitas facetas. Jesus serve como Redentor da humanidade, Sumo Sacerdote, Cabeça da congregação cristã e agora como... 	258- 1ª Coríntios 15:25 e Od página 12-13 parágrafo 2...Como Rei do Reino de Deus. 
259 -  Leia Mateus 24:45 e responda as perguntas: Quem compõe o escravo fiel e prudente? E o que ele faz? 	259 – Od páginas 18-19 parágrafo 5 - se compõe de um pequeno grupo de cristãos ungidos diretamente envolvidos na preparação e distribuição de alimento espiritual durante a presença de Cristo.
260- Leia Mateus 24:45 e responda à pergunta: Em termos simples, quem então são os "domésticos"?	260- Od páginas 18-19 parágrafo 7 - Em termos simples, são aqueles que são alimentados. No início dos últimos dias, todos os domésticos eram cristãos ungidos. Depois, os domésticos passaram a incluir a grande multidão de “outras ovelhas”. 
261- Durante a grande tribulação, quando Jesus vier para proferir e executar julgamento contra este sistema perverso, sobre o que ele encarregará o escravo fiel?	261 – Od páginas 19-20 parágrafo 8 - “de todos os seus bens”. 
262 - AO LONGO dos séculos, o povo de Jeová tem se reunido de modo organizado. No Israel antigo, todos os homens viajavam até Jerusalém para festividades judaicas. Quais eram e seus nomes?	262 – Deuteronômio 16:16 - Eram 03 Festividades dos pães não fermentados, festividades das barras e festividade das semanas.
263 - Em nossos dias, as reuniões cristãs seguem o modelo estabelecido nos tempos dos apóstolos. Nós acatamos o conselho inspirado: "Pensemos uns nos outros . . .não deixando de nos reunir, como é costume de alguns, mas nos encorajando uns aos outros, e ainda mais ao passo que vocês veem chegar o dia."  Em qual carta, capítulo e versículo da Bíblia contém esse conselho?	263 – Hebreus 10:24, 25
264 - Para tirarmos pleno proveito da Reunião Pública, é essencial prestar atenção, procurar os textos citados pelo orador e acompanhar a leitura e a explicação deles. Em qual período da semana geralmente é realizada essa reunião?	264 – Od página 54 e 56, parágrafo 5 – sábado/domingo ou fins de semana.
265 - Verdadeiro ou Falso :  O discurso público normalmente é seguido pelo Estudo de A Sentinela, uma consideração por perguntas e respostas de artigos publicados na edição de estudo da revista A Sentinela.	265 –Od página 58, 59 parágrafo11 – Verdadeiro.
266 - Quantas partes possui a reunião de meio de semana e quais são os nomes de cada uma?	266 – Od páginas 59, 60 parágrafos 14-16. (1º) Tesouros da Palavra de Deus, (2º) Faça seu melhor no ministério (3º) Nossa Vida Cristã.
267 - Não se confunda, qual o nome completo do material espiritual com o conteúdo das reuniões de meio de semana? (A) Apostila de Reuniões Semanais (B) Apostila da Reunião Vida e Ministério (C) Apostila da Reunião Nossa Vida Cristã (D) Apostila da Reunião Vida e Ministério Cristão (E) Apostila da Reuniões Tesouros Espirituais e Nossa Vida Cristã. 	267 – Od páginas 60, 61 parágrafos 18. (B) Apostila da Reunião Vida e Ministério.
268 - Fale um a um todo os itens do kit de ensino. Vou ajudar, são 07 itens, não esqueça de nada hein.	268 - https://www.jw.org/pt/publicacoes/jw-apostila-do-mes/abril-2018-mwb/programa-reuniao-abr30-mai6/use-bem-o-kit-de-ferramentas-de-ensino/#?insight[search_id]=86a793dd-3b82-4796-851c-0f71c471893e&insight[search_result_index]=0 (1) Revistas (2) Brochuras (3) Livros (4) Folhetos (5) Vídeos (6) Convites (7) Cartões.
269 - Você conhece todos os nossos folhetos? Escreva em um papel os temas de 5 deles. Se acertar todos os 08 temas, avance mais 1 casa. (não vale errar nenhuma letra hein).	269 – https://www.jw.org/pt/publicacoes/jw-apostila-do-mes/abril-2018-mwb/programa-reuniao-abr30-mai6/use-bem-o-kit-de-ferramentas-de-ensino/#?insight[search_id]=86a793dd-3b82-4796-851c-0f71c471893e&insight[search_result_index]=0  (1) O que você acha da bíblia?  (2) O que você espera do futuro? (3) Qual o segredo para ter uma família feliz? (4) Quem controla o mundo? (5) O sofrimento vai acabar algum dia? (6) Será que os mortos podem voltar a viver? (7) O que é o Reino de Deus? (8) Onde encontrar as respostas mais importantes da vida? 
270 - Qual é o texto temático impresso na página principal de nosso convite para as reuniões congregacionais? (A) (Apocalipse 7:17) (B) (Mateus 7:13, 14) (C) (Salmo 97:11) (D) Hebreus 10:24-25 (E) NDA	270- (E) NDA Mateus 5:3
271 - De acordo com o contexto bíblico, quando Jeová olha para nós, ele não se concentra em nossa aparência, no que somos por fora. Ele vê o que somos por dentro. Por assim dizer, ele olha para: (A) Nossas Ações (B) Nosso Coração (C) Nossa intenção (D) Nosso íntimo (E) Nossa Fé	271 – 1ª Samuel 16:7B – Nosso coração
272 - Apesar do pecado de Adão e Eva, muitos dos seus descendentes foram leais a Jeová. A lealdade deles a Deus nos faz lembrar do que os israelitas arrependidos disseram em Isaías 64:8: "Ó Jeová, tu és o nosso Pai. Somos o barro, e tu és o nosso ...	272 - Isaias 64:8. Nosso oleiro.
273 - De acordo com instruções do livro Organizados, quanto tempo deve durar a reunião de consideração para o serviço de campo? (A) seis/oito  minutos (B) cinco/sete minutos (C) seis/sete minutos (D) sete/oito minutos (E) cinco minutos 	273 – Od página 63 parágrafo 21 - Essas reuniões duram de cinco a sete minutos.
274 - Verdadeiro ou Falso. Pode haver congregações pequenas compostas só de irmãs. Nesse caso, uma irmã que faz orações na congregação ou dirige reuniões...em harmonia com o procedimento bíblico. A filial pedirá a uma das irmãs que seja responsável pela correspondência com o Escritório e cuide das reuniões. Com o tempo, quando irmãos se qualificarem para fazer isso, eles cuidarão dessas responsabilidades.	274 – Od página 63-64 parágrafo 23 – Verdadeiro “Pode haver congregações pequenas compostas só de irmãs. Nesse caso, uma irmã que faz orações na congregação ou dirige reuniões faz isso com a cabeça coberta, em harmonia com o procedimento bíblico. (1 Cor. 11:3-16) Na maioria dos casos, ela fica sentada, de frente para o grupo. As irmãs não fazem discursos da tribuna, como os irmãos. Em vez disso, elas leem e comentam a matéria fornecida pela organização, ou, para variar, podem apresentar a matéria em forma de consideração com a assistência ou demonstrações. A filial pedirá a uma das irmãs que seja responsável pela correspondência com o Escritório e cuide das reuniões. Com o tempo, quando irmãos se qualificarem para fazer isso, eles cuidarão dessas responsabilidades”
275 - Verdadeiro ou Falso. Todo ano é feita uma programação para que as congregações designadas ao mesmo circuito se reúnam em duas assembleias de circuito de um e dois dias. Essas ocasiões dão a todos na assistência oportunidades de 'abrir amplamente seu coração' numa alegre associação cristã.	275 – Od página 63-64 parágrafo 24 – Falso Assembleias de “um dia”.
276 - Uma vez por ano, realizamos reuniões maiores. São ocasiões onde reunimos congregações de vários circuitos. Filiais menores talvez achem mais prático que todas as congregações no território da filial se reúnam num só local. Para o povo dedicado de Jeová, são alegres oportunidades para adorar a Deus em união. Têm sido ocasiões oportunas para se revelar mais esclarecimento da verdade. Em alguns desses eventos, são lançadas publicações para estudo pessoal e congregacional ou para uso no ministério de campo. Qual o nome que damos a esse evento?	276 – Od página 64-65 parágrafo 25 – Congressos regionais.
277 - Baseada no texto de Lucas 22:19. Essa é a reunião mais importante do ano para o povo de Jeová. Qual o nome desta reunião? 	277 – Od página 65-66 parágrafo 28 – Ceia do Senhor (Santa Ceia)  / Celebração da Morte de Cristo / Comemoração da Morte de Cristo / Memorial da Morte de Cristo.
278 - A Páscoa era a celebração anual do Êxodo dos israelitas, que ocorreu quando saíram do Egito. Naquela ocasião, Jeová marcou este dia como a data para comerem o cordeiro pascoal e deixar o cativeiro no Egito. Qual é a data da Celebração que é indicada nas Escrituras? E em que ano ela foi celebrada pela 1ª vez?	278 – Od página 65-66 parágrafo 29 Exôdo 12:1-51 – 14 de Nisã de 1513 AEC
279 - Verdadeiro ou Falso. Ao preencher seu relatório de atividades de campo, na linha "Publicações", anote o nº total de publicações - impressas ou em formato digital - que você entregou ou enviou para alguém que não é uma Testemunha de Jeová batizada. Isso inclui publicações que você entregou pessoalmente para alguém ou que enviou por meio de links num e-mail. 	279-
280 - Verdadeiro ou Falso. Ao preencher seu relatório de atividades de campo, na linha "Vídeos mostrados", anote quantas vezes você mostrou um dos nossos vídeos no ministério.	280-
281 - Verdadeiro ou Falso. O pai (ou a mãe) que dirige a Noite de Adoração em Família pode contar uma revisita por semana se um filho não batizado estiver presente. 	281-
282 - Pode-se fazer uma revisita não apenas visitando alguém em sua casa, mas também por meio de carta, telefonema, mensagem de texto, e-mail, ou entregando publicações, como o número mais recente de uma revista.	282-
283 - Toda vez que acompanhar um estudo bíblico, deve-se contar uma revisita em seu relatório de campo.	283-
284 - Verdadeiro ou Falso. Pode-se também relatar um estudo bíblico, quando este é dirigido para irmãos inativos.	284 - Od página 75-77 parágrafo 26 - Verdadeiro. Deve se relatar este estudo, quando passou sob a orientação de um membro da comissão de serviço. 
285- Quantos anos Davi tinha quando começou a reinar? (A) 25 anos (B) 30 anos (C) 35 anos (D) 40 anos (E) 50 anos.	285 - (2 Samuel 5:4)  (B) Davi tinha 30 anos de idade quando se tornou rei e reinou por 40 anos.
286 - Quem escreveu o livro bíblico de Jó? 	286 – TNM pagina 1722 – Moisés
287 - Escolha dentre as opções, quais foram os três escritores do livro de Provérbios? (   ) Lemuel  (   ) Salomão (    ) Davi  (    ) Jó  (   ) Filhos de Corá	287 – TNM pagina 1722 – Salomão, Agur e Lemuel.
(   ) Asafe (   ) Etã  (   ) Agur   (    ) Moisés   (   ) Josué   	288 - (2 Crônicas 14:9) Mais tarde Zerá, o etíope, veio contra eles com um exército de 1.000.000 de homens. 
288 - O rei Asa tinha um exército de 300.000 homens de Judá, equipados com escudos grandes e lanças. De Benjamim, havia 280.000 guerreiros valentes que portavam escudos pequenos e estavam armados com arcos. Mais tarde Zerá, o etíope, veio contra eles com um exército. É o maior exército registrado na Bíblia contra o povo de Deus. Quantos homens compunha esse exército?	289 – TNM página 1763 - Sisaque, Sô, Tiraca, Neco e Hofra.
289 - A Bíblia menciona 5 nomes de Faraós, cite pelo menos um.	290 – (Jeremias 45:5) “a sua vida” como despojo’.”
290 - Baruque desejava bens materiais, mas segundo Jeová o prometeu, o que Baruque levaria como despojo?	291 - TNM página 1762 – Estaca de Tortura Stau-rós
291 - A Bíblia geralmente usa a palavra grega para se referir ao instrumento em que Jesus foi executado. Que palavra é essa? (A) stau·rós (B) néfesh (C) cruz (D) hó·plon (E) má·khai·ra  	292– TNM página 1812 – Ano 2 AEC (cerca de Outubro).
292 - Em que ano Jesus Cristo nasceu? (A) Ano zero (B) 33 EC (C) 02 AEC (D) 02 EC (E) NDA	293 - Lucas 2:1 – César Augusto.
293 - Quem governava a potência mundial Roma, quando Cristo nasceu? (A) Nero (B) Júlio César (C) César Augusto (D) Marco Antônio (E) Constantino.	294 -  Gênesis 3:24 “O caminho para a árvore da vida.” 
294 - O que os querubins guardavam no Éden?	295  - Judas 9 - Miguel.
295 - Qual é o nome pelo qual o arcanjo é conhecido?	296 - Isaías 6:3 - “Santo, santo, santo é Jeová.” 
296 - Isaías ouviu os serafins dizendo o quê?	297 – Números 22: 26-31 – Balaão
297 - Quem sou eu? Ignorei os avisos de um anjo e as queixas de uma jumenta.	298 - Daniel 8:15 / 9:21 Lucas 1:19 Gabriel.
298 - Quem sou eu? Transmiti uma mensagem a Daniel, a Zacarias e à mãe de Emanuel.	299 - Ezequiel 18:4 Pois todas as almas pertencem a mim. Tanto a alma do pai como a alma do filho pertencem a mim. A alma que pecar é a que morrerá.
299 - Responda a estas perguntas e escreva os versículos bíblicos que estão faltando. O que acontece à alma que peca? Ezequiel 18:________	300- Isaias 8:3 – Segundo filho do Profeta Isaías.
300 - Quem foi o pai MAER-SALAL-HÁS-BAS?	301 - W91 1/2 p. 17 par. 10 Honremos o filho, o agente principal de Jeová - O arcanjo Miguel luta em favor do Reino de Deus, assumindo a liderança em purgar dos céus a Satanás e suas hordas demoníacas. (Revelação 12:7-10) E o profeta Daniel diz que ‘ele está de pé a favor dos filhos de teu povo’. (Daniel 12:1) Parece, portanto, que Miguel é “o anjo do verdadeiro Deus, que ia na frente do acampamento de Israel” e que é ele quem Deus usou para levar seu povo à Terra Prometida. “Guarda-te por causa dele e obedece à sua voz”, ordenou Deus. “Não te comportes rebeldemente contra ele,. . . porque meu nome está nele.” (Êxodo 14:19; 23:20, 21) Sem dúvida, o arcanjo de Jeová deve ter-se interessado grandemente pelo povo típico de Deus, que levava Seu nome. Mui apropriadamente ele acudiu outro anjo que fora enviado para consolar o profeta Daniel e que havia sido atacado por um poderoso demônio. (Daniel 10:13) Portanto, pode-se razoavelmente concluir que o anjo que destruiu os 185.000 guerreiros de Senaqueribe não foi outro senão Miguel, o arcanjo. — Isaías 37:36.
301 - De acordo com a Sentinela 1º de Fevereiro de 1991 página 18, parágrafo 10, qual o provável nome do anjo que matou 185 mil soldados do Rei Senaqueribe?	302 - (Mateus 5:18) “Deveras, eu vos digo”
302 -  Que expressão Jesus freqüentemente usava para enfatizar aos seus ouvintes a exatidão das suas declarações? 	303 - (1 Crônicas 12:8-14)Os homens velozes, corajosos e poderosos da tribo de Gade que se juntaram a Davi no ermo enquanto ele ainda estava sob restrições por causa do rei Saul
303 - De quem se dizia: "O mínimo era igual a cem e o maior igual a mil"? 	304 -(2 Samuel 2:18)Zeruia, a mãe deles
304 - O nome de quem é comumente associado aos três combatentes de Davi - Joabe, Abisai e Asael? 	305 - (Marcos 13:13)Perseverar até o fim
305 - Apesar de se tornar objeto de ódio das pessoas por causa do seu nome, o que Jesus disse que se deve fazer para ser salvo? 	306 - (Ester 9:10) Dez.
306 - Quantos filhos tinha Hamã, todos mortos por causa da hostilidade aos judeus? 	307 - (Isaías 6:6) Um serafim.
307 - Que espécie de criatura espiritual tocou os lábios de Isaías com uma brasa viva para que ele cumprisse com sua designação profética? 	308 – (Lucas 8:3) Cuza
308 - Quem era o "encarregado" de Herodes, cuja esposa, Joana, ministrava a Jesus? 	309 - (1 Timóteo 3:1) “O cargo de superintendente”
309 -Que cargo de responsabilidade Paulo encorajou os homens a procurar alcançar na congregação? 	310 - (Gênesis 2:10-14) Píson, Giom, Hídequel e Eufrates
310 - O "rio saindo do Éden" deu origem a que quatro rios? 	311 - (Gálatas 5:9) Levedar a massa toda
311 - Paulo indicou que um pouco de fermento era capaz de fazer o quê? 	312 - (Gênesis 9:18, 19) Sem, Cã e Jafé
312 - Quais eram os nomes dos três filhos de Noé, dos quais se ramificou "toda a população da terra"? 	313 - (1 Samuel 1:19, 20) Elcana.
313 - Quem era o pai do profeta Samuel? 	314 - (Juízes 5:19) Megido.
314 - Nos arredores de que cidade estratégica, de onde se avistava o vale de Jezreel, foram travadas muitas batalhas decisivas? 	315 - (Josué 9:27) Eles se tornaram “ajuntadores de lenha e tiradores de água para a assembléia e para o altar de Jeová”
315 - Salvos devido a sua artimanha, os gibeonitas foram designados a que tarefas? 	316 - (Mateus 10:2) Apóstolos
316 - Que designação receberam os 12 discípulos escolhidos pessoalmente por Jesus? 	317 - (Mateus 23:8, 10) Rabi e Líder
317 - Jesus ordenou seus discípulos a não usarem que títulos, os quais cabiam apenas a ele? 	318 - (Hebreus 13:24) Itália
318 - De que país Paulo escreveu a carta aos hebreus? 	319 - (Jó 19:20) “Eu escapo com a pele dos meus dentes”
319 - Que frase Jó usou para expressar que ele mal havia conseguido escapar da morte? 	320 - (Rute 3:3) Na eira.
320 - Na antiguidade, em que lugar os grãos eram separados da haste e da pragana? 	321 - (Gênesis 37:3-11) Porque seu pai o amava mais e por causa dos sonhos que ele teve
321 - Por que motivos os irmãos de José o odiavam? 	322 - (2 Samuel 12:24; 1 Reis 10:23, 24) SALOMÃO
322 - Filho de Davi com Bate-Seba, que reinou sobre Israel, conhecido também por sua sabedoria. 	323 - (2 Reis 19:35, 36) ASSÍRIA
323 - País que perdeu 185.000 soldados numa só noite quando atacou o reino de Judá.	324 -(Êxodo 16:35) MANÁ
324 - Principal alimento dos israelitas durante a peregrinação de 40 anos no ermo. 	325 - (1 João 4:8) AMOR
325 - Qualidade dominante de Jeová. 	326 - (2 Samuel 15:23-29, 35, 36; 17:15, 16) ZADOQUE
326 Sacerdote de destaque que atuou como informante de Davi, com outros levitas, durante a revolta de Absalão. 	327 - (Números 3:41) LEVITAS
327 - Os escolhidos por Jeová em lugar de todos os primogênitos das outras tribos. 	328 - (Números 32:1-5) ATAROTE
328 - Cidade ao leste do Jordão, primeira alistada entre as solicitadas pelas tribos de Gade e Rubem como posse.	329 - (Números 23:28) PEOR
329 - Terceiro ponto elevado ao qual Balaão foi conduzido pelo Rei Balaque para amaldiçoar a Israel. 	330 - (Isaías 36:21, 22) JOÁ
330 - Cronista, filho de Asafe, um dos enviados pelo Rei Ezequias para ouvir o que o mensageiro assírio, Rabsaqué, tinha a dizer. 	331 - (Josué 7:24-26) ACOR
331 - Vale, ou baixada, onde Acã e sua família foram apedrejados. 	332 - (Gênesis 5:28, 29) LAMEQUE
332 - Pai de Noé. 	333 - (Gênesis 8:4) ARARATE
333 - Cadeia de montanhas onde a arca de Noé pousou. 	334 - (Jeremias 32:12) BARUQUE
334 - Secretário-escriba de Jeremias. 	335 - (Gênesis 14:1-16) ELÃO
335 - País cujo rei, Quedorlaomer, foi líder da coalizão cananéia que resultou no saque de algumas cidades - inclusive Sodoma - e no cativeiro de Ló, resgatado por Abraão. 	336 - (João 2:1-12) CANÁ
336 - Cidade onde Jesus realizou seu primeiro milagre. 	337 - (1 Reis 22:51-53; 2 Reis 1:2-17) ACAZIAS
337 - Rei de Israel, filho de Acabe e Jezabel, que quando enfermo, em vez de indagar de Jeová, enviou mensageiros ao deus filisteu Baal-Zebube. 	338 - (Gálatas 5:22; Efésios 5:9) BONDADE
338 - Qualidade ou condição de ser bom, excelência moral, virtude. 	339 -(Neemias 2:19; 4:1) SAMBALÁ
339 - Horonita que se opunha aos esforços de Neemias de recuperar a muralha de Jerusalém. 	340 - (2 Timóteo 4:21) LINO
340 - Cristão em Roma, mencionado pelo apóstolo Paulo como enviando saudações a Timóteo. 	341 - (1 Samuel 22:6-20) ABIATAR
341- Único sacerdote que escapou da matança feita por Doegue, às ordens de Saul.	342 - (2 Crônicas 9:1; Salmo 45:14) SÉQUITO
342 - Conjunto de pessoas que acompanham alguém por dever oficial ou cortesia; comitiva, cortejo. 	343 - (Jeremias 31:15) RAMÁ
343 - Cidade mencionada na profecia de Jeremias de onde procedia o som do choro de Raquel por seus filhos. 	344 - (Gênesis 14:1-16) ANRAFEL
344 - Rei de Sinear, aliado de Quedorlaomer, rei de Elão, desbaratado por Abraão quando resgatou Ló. 	345 -  (2 Reis 19:2; Isaías 1:1) AMOZ
345 - Pai do profeta Isaías.	346 -(2 Samuel 16:23)  AITOFEL
346 - Conselheiro de Davi, cujas palavras eram qualificadas como procedendo diretamente de Jeová. 	347 -(Atos 6:1-6) PRÓCORO
347 - Terceiro dos homens acreditados escolhidos para garantir a distribuição eqüitativa de alimentos entre os cristãos na congregação em Jerusalém. 	348 - (Números 20:22-29)HOR
348 - Monte onde Arão faleceu antes da entrada de Israel na Terra Prometida. 	349 -(Êxodo 6:23) ELISEBA
349 - Filha de Aminadabe, esposa de Arão e mãe de Nadabe, Abiú, Eleazar e Itamar. 	350 -(1 Reis 4:13; Isaías 25:12)  MURALHA
350 - Estrutura de alvenaria que servia para a proteção das cidades. 	351 -(Colossenses 4:17) ARQUIPO
351 - Cristão exortado por Paulo à fidelidade no ministério. 	352 -(Mateus 21:1, 2) BETFAGÉ
352 - Cidade de onde Jesus enviou seus discípulos para conseguirem o jumento em que ele montou na sua entrada triunfal em Jerusalém. 	353 -(Daniel 3:1)  DURA
353 - Planície onde Nabucodonosor erigiu uma imagem de ouro. 	354 - (Deuteronômio 3:1-3) BASÃ
354 - Grande região ao leste do mar da Galiléia, governada por Ogue, e que foi entregue por Jeová nas mãos dos israelitas. 	355 -  (Deuteronômio 8:4) CAPA
355 - Vestimenta usada pelos israelitas e mencionada como não tendo se desgastado durante o tempo de sua peregrinação pelo ermo.	356 - (Gênesis 41:50-52) EFRAIM
356 - Filho de José com Asenate, nascido no Egito.	357 - (Gênesis 23:2-20) HEBRON
357 - Cidade onde morreu e foi enterrada Sara, esposa de Abraão.	358 - (Jeremias 37:13, 14) IRIJA
358 - Oficial que prendeu Jeremias sob acusação falsa de tentar desertar para os babilônios.	359 - (Atos 18:26) AQUILA
359 - Cristão que, com sua esposa, ajudou Apolo a obter mais entendimento do caminho de Deus. 	360 - (2 Reis 15:30) OSEIAS
360 - Rei de Israel que chegou ao trono por conspirar e matar seu antecessor, o Rei Peca. 	361 - (Provérbios 3:10; Isaías 63:2) LAGAR
361 - Usado para espremer frutos e obter seu sumo. 	362 - (1 Reis 14:1-18) ABIAS
362 - Filho do Rei Jeroboão I. Faleceu na sua juventude em resultado de um julgamento de Jeová.	363 -  (1 Samuel 16:16, 18, 23) HARPA
363 - Instrumento que Davi tocava com perícia.	364 - (Números 8:7) NAVALHA
364 - Instrumento usado pelos levitas para rapar o corpo na investidura no serviço junto à tenda de reunião. 	365 -  (1 Reis 16:30, 31; 18:4, 19) JEZABEL
365 - Adoradora de Baal, esposa de Acabe.	366 - (Rute 4:9-10) MALOM
366 - Ele casou-se com a moabita Rute, morreu sem filhos e sua descendência foi suscitada pelo casamento levirato de Rute com Boaz. 	367 - (1 Reis 11:23-25) REZOM
367 - Opositor de Salomão, suscitado por Jeová, especialmente após o desvio de Salomão. 	368 -. (Atos 14:19-21) DERBE
368 - Cidade a que Paulo se dirigiu com Barnabé depois de ser apedrejado em Icônio.	369 - (Ester 8:1-8) RAINHA
369 - Consorte ou esposa principal de um rei. 	370 -  (1 Reis 5:7-14) LIBANO
370 - Hirão, rei de Tiro, controlava parte desta região, de onde supriu madeira a Salomão. 	371 - (Tito 1:5) CRETA
371 - Ilha onde Tito ficou para corrigir certas situações nas congregações locais. 	372 - (2 Crônicas 22:11, 12) ATALIA
372 - Filha de Jezabel que matou todos da linhagem real, menos Jeoás, para tomar posse como rainha. 	373 - (Mateus 14:1-11; Estudo Perspicaz, volume 3, página 510) SALOME
373 - Ela dançou para Herodes resultando, por instigação de sua mãe, na morte de João Batista. 	374 - (Miquéias 5:2) EFRATA
374 - Nome primitivo de Belém ou da região circunvizinha. 	375 - (Atos 26:2, 3) AGRIPA
375 - Bisneto de Herodes, o Grande, diante de quem Paulo deu testemunho cabal.	376 - (1 Samuel 14:49; 18:27, 28) MICAL
376 - Filha de Saul que se tornou esposa de Davi. 	377 - (Salmo 69:21; João 19:28-30) VINAGRE
377 - Bebida que provavelmente deram a Jesus quando estava na estaca de tortura. 	378 - (1 Crônicas 5:26) HABOR
378 - Cidade para a qual o rei assírio Tiglate-Pileser III exilou muitos israelitas. 	379 - (Atos 17:10, 11) BEREIA
379 - Cidade da Macedônia, cujos habitantes eram diligentes em examinar as Escrituras. 	380 -  (2 Reis 24:6, 8, 12; Jeremias 29:2) NEUSTA
380 - Esposa do Rei Jeoiaquim, que acompanhou os primeiros cativos levados para Babilônia.	381 - (1 Reis 15:27-30) BAASA
381 - Terceiro rei do reino de dez tribos de Israel que usurpou o trono por matar Nadabe. 	382 - (Gênesis 14:18) SALEM
382 - Cidade onde Melquisedeque era rei e sacerdote. 	383 - (Josué 11:1-13) HAZOR
383 - O rei desta cidade foi cabeça das forças unidas de Canaã contra Josué. 	384 - (Apocalipse 6:5, 6) PRETO
384 - A cor do cavalo que simboliza a fome em Apocalispe.	385 - (Mateus 2:16)HERODES
385 - Rei que ordenou a matança de bebês após o nascimento de Jesus. 	386 - (Êxodo 17:1-7; Salmo 81:7) MERIBA
386 - Local onde Moisés golpeou o rochedo. 	387 - (Juízes 3:9) OTNIEL
387 - Primeiro juiz de Israel nominalmente citado, depois de Josué. 	388 - (1 Reis 16:30, 31) ETBAAL
388 - Rei dos sidônios, pai de Jezabel, esposa do Rei Acabe.	389 - (1 Samuel 27:1-3) MAOQUE
389 - Pai de Aquis, rei de Gate, junto a quem Davi e seus homens encontraram refúgio contra Saul. 	390 - (Salmo 150:4) DANÇA
390 - Execução rítmica de movimentos, acompanhada de música. 	391 - (1 Reis 17:1-6) ELIAS
391 - Profeta de Israel que foi alimentado por corvos. 	392. (Romanos 12:21) A ‘persistir em vencer o mal com o bem’
392 - Em vez de nos permitir ser 'vencidos pelo mal', o que Paulo nos aconselha a fazer? 	393. (Mateus 5:41) Ele estava ilustrando a necessidade de submissão voluntária a exigências legítimas
393 - O que Jesus quis dizer com a declaração: "Se alguém sob autoridade te obrigar a prestar serviço por mil passos, vai com ele dois mil"? 	394. (1 Pedro 3:3, 4) Com a “vestimenta incorruptível de um espírito quieto e brando”
394 - Como aconselhou Pedro que as esposas cristãs se adornassem, em vez de com trançados dos cabelos e ornamentos de ouro? 	395. (Isaías 51:1)  “A rocha de que fostes talhados”
395 - Isaías chamou Abraão de que, querendo dizer que era o pai humano da nação de Israel?	396. (2 Samuel 23:15-17) Porque ela representava o sangue deles, que haviam arriscado para obtê-la
396 - Por que Davi, quando estava na caverna de Adulão, recusou-se a beber a água que três guerreiros foram buscar em Belém? 	397. (2 Samuel 11:2) Tomando banho
397 - O que Bate-Seba estava fazendo quando Davi a viu pela primeira vez? 	398. (2 Coríntios 3:3)  “Com espírito dum Deus vivente”
398 - Em vez de com tinta, com que disse Paulo que se inscreveu no coração dos cristãos coríntios? 	399. (Êxodo 10:19) Um fortíssimo vento ocidental os varreu para o mar Vermelho
399 - Como Jeová removeu os gafanhotos da oitava praga, de forma que não restou nenhum deles no Egito? 400 - Por que Jeová entregou Saul à morte? 	400. (1 Crônicas 10:13) Ele agiu de modo infiel para com Jeová por não seguir Suas instruções e por consultar uma médium espírita
401 - Em que cidade portuária Paulo fez baldeação como prisioneiro com destino a Roma? 	401. (Atos 27:5) Mirra, na Lícia
402 - Como Jeová mostrou sua preocupação com as viúvas e com os meninos órfãos de pai no antigo Israel? 	402. (Êxodo 22:22-24; Deuteronômio 24:17-21) Ele fez provisões para o seu bem-estar e sustento
403 - Que nome foi dado ao campo que os sacerdotes compraram com o dinheiro que Judas lançou no templo? 	403. (Mateus 27:3-8; Atos 1:19) Acéldama, ou “Campo de Sangue”
404 - Por que Pedro censurou Simão por ter oferecido dinheiro para obter a autoridade de conferir espírito santo? 	404. (Atos 8:20, 21) Ele demonstrou motivação errada ao tentar comprar a “dádiva gratuita de Deus” e seu coração não era “reto à vista de Deus”
405 - Quantos anos tinha Sara quando deu à luz Isaque? 	405. (Gênesis 17:17)Ela tinha 90 anos
406 - Como se chamava a terra para a qual Elimeleque e sua esposa, Noemi, emigraram por causa da fome, e onde seu filho Malom casou-se com Rute? 	406. (Rute 1:1-4) Moabe
407 - Quem o apóstolo João viu "no meio dos candelabros", fornecendo-lhe mensagens para as sete congregações? 	407 -(Revelação [Apocalipse] 1:13) Jesus Cristo, a quem João descreveu como “alguém semelhante a um filho de homem”
408 - Destacado profeta, filho de Ana e Elcana. 	408 - (1 Samuel 1:21, 22, 24-28) SAMUEL
409 - Filho mais velho de Saul que tinha uma amizade altruísta com Davi. 	409 - (1 Samuel 14:1;18:1, 3) JONATÃ
410 - Sogra de Rute. 	410 - (Rute 2:22) NOEMI
411 - Avô de Davi, filho de Boaz e Rute. 	411 - (Mateus 1:5, 6) OBEDE
412 - Mulher que escondeu os israelitas quando estes espionavam Jericó. 	412 - (Josué 2:1-5) RAABE
413 - Uma das quatro cidades fundadas por Ninrode. 	413 - (Gênesis 10:10) ACADE
414 - Animal importado por Salomão. 	414 - (1 Reis 10:22) MACACO
415 - Ela está amarrada à lei do marido enquanto este viver. 	415 - (Romanos 7:2) ESPOSA
416 - Nome que vem duma palavra hebraica que corresponde ao grego Apolion e significa destruição. 	416 - (Revelação 9:11) ABADON
