1- O que se refere a palavra pentateuco?	1- it-3 p. 223 / Pentateuco: refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.	Você apoiou a designação de limpeza do Salão do Reino. PARABÊNS, AVANCE 02 CASAS !!!
241 - Que bênçãos o Reino trará para a Terra e a humanidade? Mencione dois textos bíblicos que comprove as promessas destas bênçãos.	241 - Apo. 21:4.  “Ele enxugará dos seus olhos toda lágrima, e não haverá mais morte, nem haverá mais tristeza, nem choro, nem dor. As coisas anteriores já passaram.”	
242 - Como sabemos que estamos no tempo do fim e que o Reino de Deus já domina? 	242 - 2 Tim. 3:1-5 e Mat. 24:3 Sinais dos fins dos tempos.	
243 - O que significa o nome Satanás? 	243 - it-3 p. 542 Satanás Opositor; Aquele Que Opõe	
244 - Podemos pessoalmente provar que as acusações de Satanás contra os servos de Deus são falsas, por: (A) assistir regularmente as reuniões (B) pregar as boas novas a todos (C) nos dedicar e batizar à Jeová (D) sermos íntegros (E) sermos betelitas.	244 – Od página 178  - Jó 27:5 “Eu nunca os declararia justos! Até eu morrer não renunciarei à minha integridade!” — 	
245 - O que acontecerá com Satanás e os demônios, durante o reinado milenar conforme o julgamento que Jeová decretou contra eles? 	245 - Apo. 20:1, 2.  Preso no abismo por mil anos  	
246 - O que é a alma humana? (A) Corpo físico (B) Folego de vida (C) Corpo espiritual (D) Energia que Jeová dá aos humanos (E) NDA 	246 -  Gên. 2:7 –  Corpo físico	
247 -Quantos humanos serão ressuscitados para a vida no céu? 	247 - Apo. 14:1, 3. 144 mil	
248 - Verdadeiro ou Falso? A agressão física por um dos cônjuges  pode ser considerada uma das bases bíblicas para o divórcio e deixa o cônjuge inocente livre para se casar de novo.	248 - FALSO  - Mat. 19:9.      “Eu lhes digo que quem se divorcia da sua esposa, a não ser por causa de imoralidade sexual, e se casa com outra, comete adultério	
249 - Sabemos que os cristãos devem se abster de sangue. Cite um texto bíblico que confirme essa ordem.	249 -Gên. 9:4. “Somente não comam a carne de um animal com seu sangue, que é a sua vida.” — Deut. 12:15, 16. “Sempre que você quiser, pode abater animais e comer carne . . . segundo a bênção que Jeová, seu Deus, lhe der. . . . Mas não comam o sangue. Você deve derramá-lo na terra como se fosse água.” — Atos 15:29. “Persistam em se abster de coisas sacrificadas a ídolos, de sangue, do que foi estrangulado e de imoralidade sexual.” 	
250 - Por que os cristãos não estão sob a Lei mosaica e seus requisitos de oferecer sacrifícios e guardar o sábado?	250 -  Rom. 10:4.  Porque Cristo é o fim da Lei. 	
251 - Se um irmão cometer contra você um pecado sério, como fraude ou calúnia, o que você deve fazer imediatamente? (A) Leve o assunto perante dois anciãos (B) Informe que falará para os anciãos (C) Converse com ele perante duas testemunhas, mas antes faça uma oração. (D) Mostre-lhe seu erro, somente você e ele (E) Avise a congregação para que não faça novas vítimas.	251 - Mat. 18:15-17.  “Se o seu irmão cometer um pecado, vá mostrar-lhe o seu erro, somente você e ele.	
252 - Qual é o único evento que biblicamente os cristãos receberam a ordem de celebrar? (A) Aniversário de Casamento (B) Casamento (C) Batismo (D) Noivado (E) NDA	252 – NDA  Luc. 22:19 	
253 - Ao se decidir se deve ou não participar em festas? (A) Posso me divertir, desde que não tocar música impropria, ou me retiro do local imediatamente (B) Aproveito essas ocasiões para dar testemunho aos descrentes (C) Sou simpático, afinal, até mesmo Jesus andava com pecadores e cobradores de impostos (D) Não faço parte do mundo... (E) Comamos e bebamos, pois amanhã morreremos.	253 -João 17:16. “Eles não fazem parte do mundo, assim como eu não faço parte do mundo.” 1 Cor. 10:21. “Vocês . . . não podem participar da ‘mesa de Jeová’ e da mesa de demônios.”	
254 - Na ordem estabelecida por Deus, quem é o cabeça da mulher casada?	254 – 1º Cor 11:3 Cabeça sobre a Mulher é o Homem	
255 - Na visão de Daniel, "mil vezes mil [anjos] o serviam, e dez mil vezes dez mil estavam de pé diante dele (o Antigo de Dias)". A Bíblia se refere a esse exército de anjos como "espíritos que prestam serviço sagrado; A quem eles servem? (A) A Jeová (B) Ao que está sentado no trono (C) Ao Cordeiro (D) Aos que vão herdar a salvação (E) Aos ungidos	255- Heb. 1:14  para servir os que vão herdar a salvação. 	
256 - Ao receber a visão Isaías ficou impressionado e se sentiu pequeno quando entendeu a grandiosidade da organização de Jeová. Essa experiência teve um impacto tão grande nele. Quando saiu do céu uma convocação para um trabalho especial, qual foi a resposta dele?	256 -Isa. 6:1-5, 8. “Aqui estou! Envia-me!” 	
257 - Reconhecer a organização de Jeová e ser grato por ela motiva seu povo. À medida que a organização avança, procuramos acompanhar o seu passo. Nós nos esforçamos em demonstrar confiança na organização de Jeová hoje.  O capítulo 1 da profecia de Ezequiel apresenta Jeová fazendo o que? 	257- Dirigindo um grandioso carro celestial.	
258 - Complete a sentença. Ao pensar no papel que Deus designou a Cristo, reconhecemos que esse papel tem muitas facetas. Jesus serve como Redentor da humanidade, Sumo Sacerdote, Cabeça da congregação cristã e agora como... 	258- 1ª Coríntios 15:25 e Od página 12-13 parágrafo 2...Como Rei do Reino de Deus. 	
259 -Leia Mateus 24:45 e responda as perguntas: Quem compõe o escravo fiel e prudente? E o que ele faz? 	259 – Od páginas 18-19 parágrafo 5 - se compõe de um pequeno grupo de cristãos ungidos diretamente envolvidos na preparação e distribuição de alimento espiritual durante a presença de Cristo.	
260- Leia Mateus 24:45 e responda à pergunta: Em termos simples, quem então são os "domésticos"?	260- Od páginas 18-19 parágrafo 7 - Em termos simples, são aqueles que são alimentados. No início dos últimos dias, todos os domésticos eram cristãos ungidos. Depois, os domésticos passaram a incluir a grande multidão de “outras ovelhas”. 	
261- Durante a grande tribulação, quando Jesus vier para proferir e executar julgamento contra este sistema perverso, sobre o que ele encarregará o escravo fiel?	261 – Od páginas 19-20 parágrafo 8 - “de todos os seus bens”. 	
262 - AO LONGO dos séculos, o povo de Jeová tem se reunido de modo organizado. No Israel antigo, todos os homens viajavam até Jerusalém para festividades judaicas. Quais eram e seus nomes?	262 – Deuteronômio 16:16 - Eram 03 Festividades dos pães não fermentados, festividades das barras e festividade das semanas.	
263 - Em nossos dias, as reuniões cristãs seguem o modelo estabelecido nos tempos dos apóstolos. Nós acatamos o conselho inspirado: "Pensemos uns nos outros . . .não deixando de nos reunir, como é costume de alguns, mas nos encorajando uns aos outros, e ainda mais ao passo que vocês veem chegar o dia."  Em qual carta, capítulo e versículo da Bíblia contém esse conselho?	263 – Hebreus  10:24, 25	
264 - Para tirarmos pleno proveito da Reunião Pública, é essencial prestar atenção, procurar os textos citados pelo orador e acompanhar a leitura e a explicação deles. Em qual período da semana geralmente é realizada essa reunião?	264 – Od página 54 e 56, parágrafo 5 – sábado/domingo ou fins de semana.	
265 - Verdadeiro ou Falso :  O discurso público normalmente é seguido pelo Estudo de A Sentinela, uma consideração por perguntas e respostas de artigos publicados na edição de estudo da revista A Sentinela.	265 –Od página 58, 59 parágrafo11 – Verdadeiro.	
266 - Quantas partes possui a reunião de meio de semana e quais são os nomes de cada uma?	266 – Od páginas 59, 60 parágrafos 14-16. (1º) Tesouros da Palavra de Deus, (2º) Faça seu melhor no ministério (3º) Nossa Vida Cristã.	
267 - Não se confunda, qual o nome completo do material espiritual com o conteúdo das reuniões de meio de semana? (A) Apostila de Reuniões Semanais (B) Apostila da Reunião Vida e Ministério (C) Apostila da Reunião Nossa Vida Cristã (D) Apostila da Reunião Vida e Ministério Cristão (E) Apostila da Reuniões Tesouros Espirituais e Nossa Vida Cristã. 	267 – Od páginas 60, 61 parágrafos 18. (B) Apostila da Reunião Vida e Ministério.	
268 - Fale um a um todo os itens do kit de ensino. Vou ajudar, são 07 itens, não esqueça de nada hein.	268- (1) Revistas (2) Brochuras (3) Livros (4) Folhetos (5) Vídeos (6) Convites (7) Cartões.	
269 - Você conhece todos os nossos folhetos? Escreva em um papel os temas de 5 deles. Se acertar todos os 08 temas, avance mais 1 casa. (não vale errar nenhuma letra hein).	269 -(1) O que você acha da bíblia?  (2) O que você espera do futuro? (3) Qual o segredo para ter uma família feliz? (4) Quem controla o mundo? (5) O sofrimento vai acabar algum dia? (6) Será que os mortos podem voltar a viver? (7) O que é o Reino de Deus? (8) Onde encontrar as respostas mais importantes da vida? 	
270 - Qual é o texto temático impresso na página principal de nosso convite para as reuniões congregacionais? (A) (Apocalipse 7:17) (B) (Mateus 7:13, 14) (C) (Salmo 97:11) (D) Hebreus 10:24-25 (E) NDA	270- (E) NDA Mateus 5:3	
271 - De acordo com o contexto bíblico, quando Jeová olha para nós, ele não se concentra em nossa aparência, no que somos por fora. Ele vê o que somos por dentro. Por assim dizer, ele olha para: (A) Nossas Ações (B) Nosso Coração (C) Nossa intenção (D) Nosso íntimo (E) Nossa Fé	271 – 1ª Samuel 16:7B – Nosso coração	
272 - Apesar do pecado de Adão e Eva, muitos dos seus descendentes foram leais a Jeová. A lealdade deles a Deus nos faz lembrar do que os israelitas arrependidos disseram em Isaías 64:8: "Ó Jeová, tu és o nosso Pai. Somos o barro, e tu és o nosso ...	272 - Isaias 64:8.  Nosso oleiro.	
273 - De acordo com instruções do livro Organizados, quanto tempo deve durar a reunião de consideração para o serviço de campo? (A) seis/oito  minutos (B) cinco/sete minutos (C) seis/sete minutos (D) sete/oito minutos (E) cinco minutos 	273 – Od página 63 parágrafo 21 - Essas reuniões duram de cinco a sete minutos.	
274 - Verdadeiro ou Falso. Pode haver congregações pequenas compostas só de irmãs. Nesse caso, uma irmã que faz orações na congregação ou dirige reuniões...em harmonia com o procedimento bíblico. A filial pedirá a uma das irmãs que seja responsável pela correspondência com o Escritório e cuide das reuniões. Com o tempo, quando irmãos se qualificarem para fazer isso, eles cuidarão dessas responsabilidades.	274 – Od página 63-64 parágrafo 23 –  Verdadeiro “Pode haver congregações pequenas compostas só de irmãs. Nesse caso, uma irmã que faz orações na congregação ou dirige reuniões faz isso com a cabeça coberta, em harmonia com o procedimento bíblico.	
275 - Verdadeiro ou Falso. Todo ano é feita uma programação para que as congregações designadas ao mesmo circuito se reúnam em duas assembleias de circuito de um e dois dias. Essas ocasiões dão a todos na assistência oportunidades de 'abrir amplamente seu coração' numa alegre associação cristã.	275 – Od página 63-64 parágrafo 24 – Falso Assembleias de “um dia”.	
276 - Uma vez por ano, realizamos reuniões maiores. São ocasiões onde reunimos congregações de vários circuitos. Filiais menores talvez achem mais prático que todas as congregações no território da filial se reúnam num só local. Para o povo dedicado de Jeová, são alegres oportunidades para adorar a Deus em união. Têm sido ocasiões oportunas para se revelar mais esclarecimento da verdade. Em alguns desses eventos, são lançadas publicações para estudo pessoal e congregacional ou para uso no ministério de campo. Qual o nome que damos a esse evento?	276 – Od página 64-65 parágrafo 25 – Congressos regionais.	
277 - Baseada no texto de Lucas 22:19. Essa é a reunião mais importante do ano para o povo de Jeová. Qual o nome desta reunião? 	277 – Od página 65-66 parágrafo 28 – Ceia do Senhor (Santa Ceia)  / Celebração da Morte de Cristo / Comemoração da Morte de Cristo / Memorial da Morte de Cristo.	
278 - A Páscoa era a celebração anual do Êxodo dos israelitas, que ocorreu quando saíram do Egito. Naquela ocasião, Jeová marcou este dia como a data para comerem o cordeiro pascoal e deixar o cativeiro no Egito. Qual é a data da Celebração que é indicada nas Escrituras? E em que ano ela foi celebrada pela 1ª vez?	278 – Od página 65-66 parágrafo 29 Exôdo 12:1-51 – 14 de Nisã de 1513 AEC	
279 - Dentre todos os Pactos, quais deles foram Bilaterais (compromisso entre ambas as partes) e que foi confirmado por sangue? Pacto da Lei, Pacto Abraâmico, Novo Pacto, Pacto para um Reino, Pacto Davidico	279 - Pacto da Lei ( Êxodo 19:1; 24:3-8) Novo Pacto (Jeremias 31:31-34; Lucas 22:19,20)	
280 - O Pacto Davídico foi feito entre quem e para qual objetivo?	280 - Entre Jeová e Davi. Para determinar que o Rei messiânico viria da linhagem de Davi e que o Reino fariam coisas que durariam para sempre.	
281 - Por quantos anos os Israelitas perambularam pelo deserto antes de entrar na terra prometida?	281 - Por 40 anos - (Deut.8:2)	
283 - Fale um pouco sobre o texto bíblico de Hebreus 3:12,13	282 - Resposta Livre	
283 - Fale um pouco sobre o texto bíblico de hebreus 4:1,2	283 - Resposta Livre	
284 - Verdadeiro ou Falso. Pode-se também relatar um estudo bíblico, quando este é dirigido para irmãos inativos.	284 - Od página 75-77 parágrafo 26 - Verdadeiro. Deve se relatar este estudo, quando passou sob a orientação de um membro da comissão de serviço. 	
285- Quantos anos Davi tinha quando começou a reinar? (A) 25 anos (B) 30 anos (C) 35 anos (D) 40 anos (E) 50 anos.	285 - (2 Samuel 5:4)  (B) Davi tinha 30 anos de idade quando se tornou rei e reinou por 40 anos.	
286 - Quem escreveu o livro bíblico de Jó? 	286 – TNM pagina 1722 – Moisés	
287 - Escolha dentre as opções, quais foram os três escritores do livro de Provérbios? (   ) Lemuel  (   ) Salomão (    ) Davi  (    ) Jó  (   ) Filhos de Corá.(   ) Asafe (   ) Etã  (   ) Agur   (    ) Moisés   (   ) Josué     	287 – TNM pagina 1722 – Salomão, Agur e Lemuel.	
288 - O rei Asa tinha um exército de 300.000 homens de Judá, equipados com escudos grandes e lanças. De Benjamim, havia 280.000 guerreiros valentes que portavam escudos pequenos e estavam armados com arcos. Mais tarde Zerá, o etíope, veio contra eles com um exército. É o maior exército registrado na Bíblia contra o povo de Deus. Quantos homens compunha esse exército?	288 - (2 Crônicas 14:9) Mais tarde Zerá, o etíope, veio contra eles com um exército de 1.000.000 de homens. 	
289 - A Bíblia menciona 5 nomes de Faraós, confirme se um desses consta lá. Menés, Shakht, Tutankamon, Neco NDA	289 – TNM página 1763 - Sisaque, Sô, Tiraca, Neco e Hofra.	
290 - Baruque desejava bens materiais, mas segundo Jeová o prometeu, o que Baruque levaria como despojo?	290 – (Jeremias 45:5) “a sua vida” como despojo’.”	
291 - A Bíblia geralmente usa a palavra grega para se referir ao instrumento em que Jesus foi executado. Que palavra é essa? (A) stau·rós (B) néfesh (C) cruz (D) hó·plon (E) má·khai·ra  	291 - TNM página 1762 – Estaca de Tortura Stau-rós	
292 - Em que ano Jesus Cristo nasceu? (A) Ano zero (B) 33 EC (C) 02 AEC (D) 02 EC (E) NDA	292– TNM página 1812 – Ano 2 AEC (cerca de Outubro).	
293 - Quem governava a potência mundial Roma, quando Cristo nasceu? (A) Nero (B) Júlio César (C) César Augusto (D) Marco Antônio (E) Constantino.	293 - Lucas 2:1 – César Augusto.	
294 - O que os querubins guardavam no Éden?	294 -  Gênesis 3:24 “O caminho para a árvore da vida.” 	
295 - Qual é o nome pelo qual o arcanjo é conhecido?	295  - Judas 9 - Miguel.	
296 - Isaías ouviu os serafins dizendo o quê?	296 - Isaías 6:3 - “Santo, santo, santo é Jeová.” 	
297 - Quem sou eu? Ignorei os avisos de um anjo e as queixas de uma jumenta.	297 – Números 22: 26-31 – Balaão	
298 - Quem sou eu? Transmiti uma mensagem a Daniel, a Zacarias e à mãe de Emanuel.	298 - Daniel 8:15 / 9:21 Lucas 1:19 Gabriel.	
299 - Responda a estas perguntas e escreva os versículos bíblicos que estão faltando. O que acontece à alma que peca? Ezequiel 18:________	299 - Ezequiel 18:4 Pois todas as almas pertencem a mim. Tanto a alma do pai como a alma do filho pertencem a mim. A alma que pecar é a que morrerá.	
300 - Quem foi o pai MAER-SALAL-HÁS-BAS?	300- Isaias 8:3 – Segundo filho do Profeta Isaías.	
301 - De acordo com a Sentinela 1º de Fevereiro de 1991 página 18, parágrafo 10, qual o provável nome do anjo que matou 185 mil soldados do Rei Senaqueribe?	301 - W91 1/2 p. 17 par. 10  Pode-se razoavelmente concluir que o anjo que destruiu os 185.000 guerreiros de Senaqueribe não foi outro senão Miguel, o arcanjo. — Isaías 37:36.	
302 -  Que expressão Jesus freqüentemente usava para enfatizar aos seus ouvintes a exatidão das suas declarações?  Assim seja, Deveras eu vos digo, Ouviste o que se disse, Observe os pássaros.	302 - (Mateus 5:18)  “Deveras, eu vos digo”	
303 - De quem se dizia: "O mínimo era igual a cem e o maior igual a mil"? 	303 - (1 Crônicas 12:8-14) Os homens velozes, corajosos e poderosos da tribo de Gade que se juntaram a Davi no ermo enquanto ele ainda estava sob restrições por causa do rei Saul	
304 - VERDADEIRO OU FALSO, Zeruia, é o nome que é comumente associado aos três combatentes de Davi - Joabe, Abisai e Asael.	304 -VERDADEIRO (2 Samuel 2:18) Zeruia, a mãe deles	
305 - Apesar de se tornar objeto de ódio das pessoas por causa do seu nome, o que Jesus disse que se deve fazer ate o fim para ser salvo? 	305 - (Marcos 13:13) Perseverar até o fim	
306 - Quantos filhos tinha Hamã, todos mortos por causa da hostilidade aos judeus? 05, 07, 10, 12, 15.	306 - (Ester 9:10)  Dez.	
307 - Que espécie de criatura espiritual tocou os lábios de Isaías com uma brasa viva para que ele cumprisse com sua designação profética?  Arcanjo, Anjo, Querubim, Serafim, Profeta	307 - (Isaías 6:6)  Um serafim.	
308 - VERDADEIRO OU FALSO.  Zaquel era o "encarregado" de Herodes, cuja esposa, Joana, ministrava a Jesus? 	308 – FALSO (Lucas 8:3)  Cuza	
309 - Que cargo de responsabilidade Paulo encorajou os homens a procurar alcançar na congregação? Pioneiros Regulares, Anciãos, Servos Ministeriais, Publicadores, Superintendentes, 	309 - (1 Timóteo 3:1)  “O cargo de superintendente”	
310 - VERDADEIRO OU FALSO - O "rio saindo do Éden" deu origem a quatro rios Giom, Hídequel e Eufrates, Nilo.	310 - FALSO (Gênesis 2:10-14)  Píson, Giom, Hídequel e Eufrates	
311 - Paulo indicou que um pouco de fermento era capaz de fazer o quê? 	311 - (Gálatas 5:9)  Levedar a massa toda	
312 - Quais eram os nomes dos três filhos de Noé, dos quais se ramificou "toda a população da terra"? 	312 - (Gênesis 9:18, 19)  Sem, Cã e Jafé	
313 - Quem era o pai do profeta Samuel? 	313 - (1 Samuel 1:19, 20)  Elcana.	
314 - Nos arredores de que cidade estratégica, de onde se avistava o vale de Jezreel, foram travadas muitas batalhas decisivas? Jericó, Jerusalém, Megido, Caná, Meribá, 	314 - (Juízes 5:19)  Megido.	
315 - Salvos devido a sua artimanha, os gibeonitas foram designados a que tarefas? 	315 - (Josué 9:27) Eles se tornaram  “ajuntadores de lenha e tiradores de água para a assembléia e para o altar de Jeová”	
316 - Que designação receberam os 12 discípulos escolhidos pessoalmente por Jesus? 	316 - (Mateus 10:2)  Apóstolos	
317 - Jesus ordenou seus discípulos a não usarem que títulos, os quais cabiam apenas a ele? Instrutor, Bom Instrutor, Rabi, Ungido, NDA	317 - (Mateus 23:8, 10) Rabi e Líder	
318 - De que país Paulo escreveu a carta aos hebreus? Espanha, Italia, Egito, Gra Bretanha, Irã	318 - (Hebreus 13:24)  Itália	
319 - Quem disse a frase “Eu escapo com a pele dos meus dentes”? 	319 - (Jó 19:20)  “Eu escapo com a pele dos meus dentes” - Jó usou para expressar que ele mal havia conseguido escapar da morte? 	
320 - Na antiguidade, em que lugar os grãos eram separados da haste e da pragana? Eira, Peneira, Celeiros, Roça NDA	320 - (Rute 3:3)  Na eira.	
321 - Por que motivos os irmãos de José o odiavam? 	321 - (Gênesis 37:3-11)  Porque seu pai o amava mais e por causa dos sonhos que ele teve	
322 - Filho de Davi com Bate-Seba, que reinou sobre Israel, conhecido também por sua sabedoria. 	322 - (2 Samuel 12:24; 1 Reis 10:23, 24) SALOMÃO	
323 - País que perdeu 185.000 soldados numa só noite quando atacou o reino de Judá.	323 - (2 Reis 19:35, 36)  ASSÍRIA	
324 - Principal alimento dos israelitas durante a peregrinação de 40 anos no ermo. 	324 -(Êxodo 16:35)  MANÁ	
325 - Qualidade dominante de Jeová, além de Sabedoria, Justiça e Poder	325 - (1 João 4:8)  AMOR 	
326 - VERDADEIRO OU FALSO - Babede foi o Sacerdote de destaque que atuou como informante de Davi, com outros levitas, durante a revolta de Absalão.	326 - FALSO (2 Samuel 15:23-29, 35, 36; 17:15, 16) ZADOQUE	
327 - Os escolhidos por Jeová em lugar de todos os primogênitos das outras tribos. Ungidos, Levitas, Escravos, Nazireus, NDA	327 - (Números 3:41)  LEVITAS	
328 - VERDADEIRO OU FALSO - Atarote é a cidade ao leste do Jordão, primeira alistada entre as solicitadas pelas tribos de Gade e Rubem como posse.	328 - VERDADEIRO (Números 32:1-5)  ATAROTE	
329 - Quem disse: "O que lhe fiz para você me bater três vezes?"	329 - (Números 22:28)  A Jumenta	
330 - Quem disse que o "amor leal" de Deus era melhor que a vida? Abraão, Jacó, Davi, Salomão, Jesus	330- Salmos 63:3 - Davi	
331 - Qual deve ser o nosso objetivo ao fazer estudo pessoal? Progredir em sentido espiritual, Adquirir Conhecimento, Amar a Jeová, 	331 - Mateus 22:37 Amar a Jeová de toda alma mente e força.	
332 - Pai de Noé. 	332 - (Gênesis 5:28, 29)  LAMEQUE	
333 - Cadeia de montanhas onde a arca de Noé pousou. 	333 - (Gênesis 8:4)  ARARATE	
334 - Secretário-escriba de Jeremias. 	334 - (Jeremias 32:12)  BARUQUE	
335 - Se referindo ao livro da Lei, o que Jeová exigia dos reis de Israel? 	335 - Deut. 37:18,19 Escrever uma cópia, ler e obedecer	
336 - Cidade onde Jesus realizou seu primeiro milagre. 	336 - (João 2:1-12)  CANÁ	
337 - VERDADEIRO OU FALSO Acazias, foi rei de Israel, filho de Acabe e Jezabel, que quando enfermo, em vez de indagar de Jeová, enviou mensageiros ao deus filisteu Baal-Zebube. 	337 - VERDADEIRO 1 Reis 22:51-53; 2 Reis 1:2-17) ACAZIAS	
338 - Qualidade ou condição de ser bom, excelência moral, virtude com três sílabas.	338 - (Gálatas 5:22; Efésios 5:9) BONDADE	
339 - Horonita que se opunha aos esforços de Neemias de recuperar a muralha de Jerusalém. Seu nome se parece com um ritmo musical.	339 -(Neemias 2:19; 4:1) SAMBALÁ	
340 - Cristão em Roma, mencionado pelo apóstolo Paulo como enviando saudações a Timóteo. Hepafrodito, Finéias, Lino, Oniel, Onésimo	340 - (2 Timóteo 4:21)  LINO	
341- VERDADEIRO OU FALSO. Nenhum sacerdote escapou da matança feita por Doegue, às ordens de Saul.	341 - FALSO (1 Samuel 22:6-20)  ABIATAR	
342 - VERDADEIRO OU FALSO. SÉQUITO se refere a um conjunto de pessoas que acompanham alguém por dever oficial ou cortesia, comitiva, cortejo. 	342 - VERDADEIRO (2 Crônicas 9:1; Salmo 45:14) SÉQUITO	
343 - Cidade mencionada na profecia de Jeremias de onde procedia o som do choro de Raquel por seus filhos. Jericó, Meribá, Ramá, Roma, Jerusalém	343 - (Jeremias 31:15)  RAMÁ	
344-  Leia 1º Pedro 2:2 - O que vai nos ajudar a ter mais vontade de ler a bíblia e fazer estudo pessoal?	344 - 1ºPedro 2:2 Desenvolver forte desejo pela palavra.	
345 - Aquele que ainda continua a tomar leite, desconhece a palavra da Justiça, porque é?  	345 - Hebreus 5:13 Criancinha ou criança	
346 - Conselheiro de Davi, cujas palavras eram qualificadas como procedendo diretamente de Jeová. 	346 -(2 Samuel 16:23)   AITOFEL	
347 - VERDADEIRO OU FALSO - Prócoro, era o terceiro dos homens acreditados escolhidos para garantir a distribuição eqüitativa de alimentos entre os cristãos na congregação em Jerusalém.	347 -VERDADEIRO (Atos 6:1-6)  PRÓCORO	
348 - VERDADEIRO OU FALSO - Monte Sinai foi o local onde Arão faleceu antes da entrada de Israel na Terra Prometida. 	348 - FALSO (Números 20:22-29) HOR	
349 - VERDADEIRO OU FALSO - Eliseba é a filha de Aminadabe, esposa de Arão.	349 -VERDADEIRO (Êxodo 6:23)  ELISEBA	
350 - Estrutura de alvenaria que servia para a proteção das cidades.  	350 -(1 Reis 4:13; Isaías 25:12)  MURALHA	
351 - VERDADEIRO OU FALSO  - Arquipo foi o cristão exortado por Paulo à fidelidade no ministério. 	351 - VERDADEIRO - (Colossenses 4:17)  ARQUIPO	
352 - Cidade de onde Jesus enviou seus discípulos para conseguirem o jumento em que ele montou na sua entrada triunfal em Jerusalém. Betânia, Meribá, Quis, Betfagé, Cafarnaum, Betsaida	352 -(Mateus 21:1, 2)  BETFAGÉ	
353 - Planície onde Nabucodonosor erigiu uma imagem de ouro. 	353 -(Daniel 3:1)   DURA	
354 - Grande região ao leste do mar da Galiléia, governada pelo Rei Ogue, e que foi entregue por Jeová nas mãos dos israelitas. Magadã, Betsaida, Corazim, Basã,  NDA	354 - (Deuteronômio 3:1-3)  BASÃ	
355 - Vestimenta usada pelos israelitas e mencionada como não tendo se desgastado durante o tempo de sua peregrinação pelo ermo. Manto, Saia, Capa, Túnica, NDA	355 -  (Deuteronômio 8:4)  CAPA	
356 - Filho de José com Asenate, nascido no Egito.	356 - (Gênesis 41:50-52)  EFRAIM	
357 - Cidade onde morreu e foi enterrada Sara, esposa de Abraão.	357 - (Gênesis 23:2-20)  HEBRON	
358 - VERDADEIRO OU FALSO - Devoção Piedosa tem a ver com o que você sente por Jeová.	358 - VERDADEIRO - Livro dos Pioneiros, pag 9 quadro	
359 - Cristão que, com sua esposa Priscilla, ajudou Apolo a obter mais entendimento do caminho de Deus. 	359 - (Atos 18:26)  AQUILA	
360 - Em vez de revelar a verdade de uma só vez, num unico lampejo brilhante de luz, ele nos instrui progressivamente. Explique essa frase no contexto de Proverbios 4:18	360- Explicação livre	
361 - Com base nos textos Mat 5;14-16; Mar 13:10, como deixamos a nossa luz brilhar?	361- Explicação livre	
362 - Porque Jeová tem o direito de ser o Soberano do Universo? Jó 41:11; Sal 24:1	362 - Explicação livre	
363 - Instrumento que Davi tocava com perícia.	363 -  (1 Samuel 16:16, 18, 23) HARPA	
364 - Instrumento usado pelos levitas para rapar o corpo na investidura no serviço junto à tenda de reunião. 	364 - (Números 8:7)  NAVALHA	
365 - Adoradora de Baal, esposa de Acabe.	365 -  (1 Reis 16:30, 31; 18:4, 19) JEZABEL	
366 - Leia Atos 17:25, 28 e explique, até que ponto as pessoas precisam de Jeová?	366 - Explicação Livre	
367 - VERDADEIRO OU FALSO - Rezom foi um opositor de Salomão, suscitado por Jeová, especialmente após o desvio de Salomão. 	367 - VERDADEIRO (1 Reis 11:23-25)  REZOM	
368 - Cidade a que Paulo se dirigiu com Barnabé depois de ser apedrejado em Icônio. Listra, Antioquia, Derbe, Perge, Selêucia	368 -. (Atos 14:19-21)  DERBE	
369 - Consorte ou esposa principal de um rei. 	369 - (Ester 8:1-8)  RAINHA	
370 - Quando todos os discípulos de Cristo estavam juntos no mesmo lugar, durante a Festividade de Pentecostes. Que evento visívelmente extraordinário aconteceu entre eles?	370 -- Eles viram o que parecima ser línguas de fogo sobre eles e todos ficaram cheios de Espirito Santo (o que ocasionou quer falassem em línguas) (Atos 2:3,4)	
371 - Ilha onde Tito ficou para corrigir certas situações nas congregações locais. Patmos, Malta, Cauda, Chipre, NDA	371 - (Tito 1:5)  CRETA	
372 - Grupo de homens  experientes que organiza o trabalho que as TJ fazem.	372 -  Corpo Governante - Boas Notícias 14 pag 29	
373 - Ela dançou para Herodes resultando, por instigação de sua mãe, na morte de João Batista, qual é o seu nome?  Herodias, Salomé, Maria Madalena, 	373 - (Mateus 14:1-11; Estudo Perspicaz, volume 3, página 510) SALOME	
374 - Nome primitivo de Belém ou da região circunvizinha. 	374 - (Miquéias 5:2)  EFRATA	
375 - Bisneto de Herodes, o Grande, diante de quem Paulo deu testemunho cabal.	375 - (Atos 26:2, 3)  AGRIPA	
376 - Filha de Saul que se tornou esposa de Davi. 	376 - (1 Samuel 14:49; 18:27, 28) MICAL	
377 - Bebida que provavelmente deram a Jesus quando estava na estaca de tortura. 	377 - (Salmo 69:21; João 19:28-30) VINAGRE	
378 - Quantas lições são abordadas na Brochura Boas Noticias? 	378 - São 14 Lições 	
379 - Cidade da Macedônia, cujos habitantes eram diligentes em examinar as Escrituras. 	379 - (Atos 17:10, 11)  BEREIA	
